text,label
Download Movie HD Print Free,1
Watch Movie Online 1080p,1
Torrent link for latest movie,1
Free movie download available now,1
Get HD movie print here,1
Telegram channel for movie downloads,1
Download Project Hail Mary full movie,1
Watch movie for free without subscription,1
Latest CAMRip movie available,1
Direct movie download link,1
Official trailer released today,0
Movie releasing next week in theatres,0
Review of the latest movie,0
Movie earned record box office collection,0
Interview with the movie cast,0
Official streaming platform announcement,0
Movie teaser launched today,0
Film festival screening announced,0
Behind the scenes footage released,0
Director discusses upcoming movie,0